Status,CU,Projects,Description,Impact,July,Aug,Sep,Oct,Nov,Dec,Jan,Beyond
,,"Core Service Hub Page
- Spousal Maintenance Mediation (L1 Main Practice Hub - Optimize, Expand & Build All H2 Sections)","URL: /spousal-support-alimony-mediation/ (existing page - optimize and expand)
Scope: complete V4 hub build - page frame plus all FOUR H2 section modules on this one URL. Finish this page before the 9 expansion pages are briefed, so every child page has a live parent section and a prepared anchor slot to publish into.

PAGE FRAME (6 hrs)
  - Rebuild the page opening to V4 format: unlinked H1 Spousal Maintenance Mediation, 2-3 paragraph overview, trust proof, primary CTA, and an optional jump-link table of contents to the four H2 section IDs.
  - Target 1,600-2,400 words on the hub itself.
  - Establish the four approved H2 topic sections on this single URL.
  - Confirm all 9 approved standalone children carry a required return link to this hub.
  - Use Arizona terminology consistently: spousal maintenance is the statutory term; alimony and spousal support are the colloquial variants the URL already captures. Do not create separate alimony URLs.
Owner: SEO Strategist + Legal SME. Guardrail: avoid outcome promises and one-sided support-position language; the mediator provides legal information, not individual advice.

H2 SECTION 1 - Types and Duration of Spousal Maintenance in Arizona (4 hrs)
  Internal group: Types, Duration & Guidelines - internal label only, never the public heading
  - Unlinked H2: Types and Duration of Spousal Maintenance in Arizona
  - 1-2 sentence section introduction
  - 3 featured cards (linked H3 + one sentence each): Temporary Spousal Maintenance Mediation; Long-Term Spousal Maintenance Mediation; Spousal Maintenance for Long-Term Marriage
  - 4 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Arizona Spousal Maintenance Guidelines in Mediation; Short-Term Marriage Maintenance Mediation; Rehabilitative Spousal Maintenance Mediation; Lump-Sum Spousal Maintenance in Mediation
  Arizona's spousal maintenance guidelines were adopted recently and materially changed how amount and duration ranges are derived. Verify the current version and effective date with the Legal SME before drafting, and schedule an annual accuracy review.
  Guardrail: distinguish legal information from advice; use neutral language for both spouses.

H2 SECTION 2 - How Spousal Maintenance Is Calculated: Income and Tax Factors (3 hrs)
  Internal group: Calculation, Income & Tax - internal label only, never the public heading
  - Unlinked H2: How Spousal Maintenance Is Calculated: Income and Tax Factors
  - 1-2 sentence section introduction
  - 3 featured cards (linked H3 + one sentence each): Spousal Maintenance for Self-Employed Spouses; How Spousal Maintenance Is Calculated in Arizona; High-Income Spousal Maintenance Mediation
  - 2 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Imputing Income for Spousal Maintenance; Tax Treatment of Spousal Maintenance
  Cross-link to the existing on-site Alimony Calculator (ClickUp 86ba3xwy8, Complete).
  Guardrail: distinguish legal information from advice; tax statements require review and should direct users to a tax professional.

H2 SECTION 3 - Spousal Maintenance for Different Marriage and Life Circumstances (3 hrs)
  Internal group: Marriage & Life Circumstances - internal label only, never the public heading
  - Unlinked H2: Spousal Maintenance for Different Marriage and Life Circumstances
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Stay-at-Home Spouse Divorce Mediation
  - 1 supporting descriptive text link: Spousal Maintenance After Retirement
  - 2 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Spousal Maintenance vs Child Support; Can a Prenup Waive Spousal Maintenance?
  Guardrail: neutral language for both spouses; do not imply a predetermined legal outcome for any circumstance. Prenup content must not advise on enforceability.

H2 SECTION 4 - Modifying, Reviewing, or Ending Spousal Maintenance (3 hrs)
  Internal group: Modification, Review & Termination - internal label only, never the public heading
  - Unlinked H2: Modifying, Reviewing, or Ending Spousal Maintenance
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Spousal Maintenance Modification Mediation
  - 3 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Spousal Maintenance Termination or Reduction Mediation; Spousal Maintenance and Cohabitation Discussions; Spousal Maintenance Review After Divorce
  Cross-link to the Post-Decree Mediation hub.
  Guardrail: mediation can help parties discuss changes, but modification requires proper filing and court approval. Do not interpret non-modifiable award language for either party.

PUBLISHING SEQUENCE
- Phase 1 (this row): publish the page frame, every H2 heading, every section introduction, and every unlinked on-hub H3/H4 topic. Those need no child URLs and go live immediately.
- Phase 2 (this row): stage the featured-card and text-link slots for each approved child page. Where the child page is already live, activate the link now. Where it is not, leave the slot built but unpublished.
- Phase 3 (expansion page rows): as each child page publishes, switch on its prepared card or anchor. No hub rebuild required - the section already exists.","Spousal maintenance is the most emotionally and financially charged issue in an Arizona divorce and the one where both spouses search independently, doubling the effective audience per matter. Consolidating alimony, spousal support, and spousal maintenance intent on one hub captures all three phrasings without duplicate URLs, and the existing on-site Alimony Calculator gives this cluster an engagement asset no local competitor matches. Building the page frame and all four H2 sections as one deliverable means the hub is structurally complete before any expansion page is written, so each child page publishes into a section that already ranks and already passes internal authority - rather than arriving as an orphan that triggers a hub rewrite.",,,,,9,10,,
,,"Core Process Content Page
- Temporary Spousal Maintenance Mediation (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/temporary-spousal-maintenance-mediation/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Explain interim support during the divorce transition, how parties structure it, and how it relates to the final award.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Types and Duration of Spousal Maintenance in Arizona module.
Guardrail: neutral language for both spouses; the mediator provides legal information, not individual advice.
Dedupe: supersedes the backlog row Core Situational Content Page - Temporary Maintenance Mediation.","Temporary support is the most urgent maintenance question because it determines whether a spouse can cover expenses during the process, which drives immediate action rather than research. Capturing that urgency early in the divorce timeline also means Aurit is engaged before either party retains litigation counsel.",,,,,,,4,
,,"Core Process Content Page
- Long-Term Spousal Maintenance Mediation (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/long-term-spousal-maintenance-mediation/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Explain extended-duration arrangements, review and step-down structures, security provisions, and termination triggers.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance for Long-Term Marriage; Spousal Maintenance Modification Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Types and Duration of Spousal Maintenance in Arizona module.
Guardrail: neutral language for both spouses; no outcome promises.
Coordinate scope with Spousal Maintenance for Long-Term Marriage: this page owns award structure and duration mechanics; that page owns the marriage-length circumstance.","Long-duration awards carry the largest total dollar value of any issue Aurit mediates, so the segment justifies premium engagement fees. Detailed structural content - step-downs, review triggers, security - demonstrates the drafting sophistication that convinces high-value couples a neutral can handle their matter without litigation.",,,,,,,,4
,,"Core Situational Content Page
- Spousal Maintenance for Long-Term Marriage (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/spousal-maintenance-for-long-term-marriage/
ALREADY FUNDED - the existing strategy row Core Situational Content Page - Long-Term Marriage Maintenance Mediation carries 4 hours in August. No additional build hours requested here; this row exists so the cluster reconciles.
Action: rename the existing row to the approved architecture page name and confirm V4 placement:
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 4.
- Required return link to Spousal Maintenance Mediation.
- Featured linked H3 card in the Types and Duration of Spousal Maintenance in Arizona module.
- Scope to the marriage-length circumstance and the factors that follow from it; leave award structure to Long-Term Spousal Maintenance Mediation.","Already funded in August. Listed here to lock the naming and hub placement, because the two long-term maintenance pages will cannibalize each other unless their scopes are explicitly divided and both are featured under the same H2.",,,,,,,,
,,"Core Situational Content Page
- Spousal Maintenance for Self-Employed Spouses (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/spousal-maintenance-for-self-employed-spouses/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Cover business income versus draw, add-backs, fluctuating earnings, documentation both spouses accept, and when a neutral financial expert is warranted.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance Mediation; Business Owner Divorce Mediation; Self-Employed Income and Child Support Mediation; Free Consultation.
- Placement: featured linked H3 card in the How Spousal Maintenance Is Calculated: Income and Tax Factors module.
Guardrail: neutral language for both spouses; recommend independent financial review.","Self-employment income is the most contested input in maintenance and the reason these matters otherwise escalate to competing forensic experts, which is exactly the cost mediation avoids. The page also links the maintenance cluster to the business owner and child support self-employment pages, forming a recognizable business-owner specialty across three hubs.",,,,,,,,4
,,"Core Educational Content Page
- How Spousal Maintenance Is Calculated in Arizona (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/how-spousal-maintenance-is-calculated-in-arizona/ (new build)
- Educational / Glossary Brief, 800-1,500 words. Tier 3, Wave 4, Priority High.
- Walk through eligibility, the statutory factors, and how the current Arizona guidelines produce amount and duration ranges.
- Link to the on-site Alimony Calculator.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance Mediation; Arizona Spousal Maintenance Guidelines in Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the How Spousal Maintenance Is Calculated: Income and Tax Factors module.
Guardrail: no individualized estimates; results are ranges, not court determinations. Schedule an annual guideline accuracy review.","The highest-volume informational query in the maintenance cluster and the natural landing page for alimony calculator traffic. Because the Arizona guidelines are recent, most competing pages are outdated - and recency is weighted heavily by both Google and AI systems on statutory topics, making accurate calculation content an unusually fast ranking win.",,,,,,,,3
,,"Core Situational Content Page
- High-Income Spousal Maintenance Mediation (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/high-income-spousal-maintenance-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 4, Priority Medium.
- Cover complex compensation, equity and deferred pay, lifestyle analysis, privacy, and structured buyout alternatives to ongoing payments.
- Required return link to Spousal Maintenance Mediation. Internal links: High-Asset Divorce Mediation; Stock Options and RSUs in Divorce Mediation; Lump-Sum Spousal Maintenance in Mediation; Free Consultation.
- Placement: featured linked H3 card in the How Spousal Maintenance Is Calculated: Income and Tax Factors module.
Guardrail: neutral language for both spouses; recommend independent financial and tax review.","The highest revenue-per-matter page in the maintenance cluster, aimed at couples for whom privacy alone justifies mediation over public litigation. It completes a premium cross-hub cluster with high-asset divorce, high-income child support, and equity compensation, which is the specialty positioning most likely to be surfaced for complex-finance family-law queries.",,,,,,,,4
,,"Core Situational Content Page
- Stay-at-Home Spouse Divorce Mediation (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/stay-at-home-spouse-divorce-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 4, Wave 4, Priority High.
- Cover career-sacrifice contribution, re-entry and earning capacity, transitional support planning, health coverage, and access to financial information.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance Mediation; Financial Disclosure in Divorce Mediation; Rehabilitative Spousal Maintenance Mediation; Free Consultation.
- Placement: featured linked H3 card in the Spousal Maintenance for Different Marriage and Life Circumstances module.
Guardrail: neutral language for both spouses - the page must not read as advocacy for the lower-earning spouse.","Reaches the most anxious and most search-active party in a maintenance matter, typically months before either spouse files. High-empathy situational content converts strongly at this stage, and because both spouses must agree to mediate, earning the trust of the more hesitant party is what actually gets the engagement signed.",,,,,,,,4
,,"Core Situational Content Page
- Spousal Maintenance After Retirement (Spousal Maintenance Mediation - Supporting Text Link)","URL: /spousal-support-alimony-mediation/spousal-maintenance-after-retirement/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 4, Priority Medium.
- Cover good-faith retirement as a change in circumstances, fixed-income realities, and how existing obligations are revisited.
- Required return link to Spousal Maintenance Mediation. Internal links: Spousal Maintenance Modification Mediation; Gray Divorce Mediation; Retirement Account Division Mediation; Free Consultation.
- Placement: compact descriptive text link in the Spousal Maintenance for Different Marriage and Life Circumstances module.
Guardrail: neutral language for both spouses; mediation can address the discussion, but modification requires proper filing and court approval.","Serves both pre-decree planning for near-retirement couples and post-decree modification demand, so a single page earns from two distinct query families. It is also the strongest connective asset between the maintenance, gray divorce, and retirement-asset clusters, which is where Aurit's most affluent segment sits.",,,,,,,,4
,,"Core Process Content Page
- Spousal Maintenance Modification Mediation (Spousal Maintenance Mediation - Featured H3 Card)","URL: /spousal-support-alimony-mediation/spousal-maintenance-modification-mediation/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Explain what qualifies as a substantial and continuing change, how parties document it, how a revised agreement is drafted, and how it reaches the court.
- Required return link to Spousal Maintenance Mediation. Internal links: Post-Decree Mediation; Spousal Maintenance After Retirement; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Modifying, Reviewing, or Ending Spousal Maintenance module.
Guardrail: mediation can help parties discuss changes, but modification requires proper filing and court approval. Neutral language for both spouses.","Modification is a shorter, lower-cost engagement that reactivates past clients and reaches former litigants who never worked with Aurit but want to avoid returning to court. That makes it one of the few pages in the account that serves both retention and acquisition, and it anchors the maintenance cluster into the post-decree hub.",,,,,,,,4
